PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-3.35,-9.66,-6.4975,-6.49,-9.66,2.3534801358838786
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-3.35,-9.66,-6.4975,-6.49,-9.66,2.3534801358838786
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-11.75,-18.71,-15.1425,-15.055,-18.71,2.5941990575127423
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-11.75,-18.71,-15.1425,-15.055,-18.71,2.5941990575127423
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-21.26,-25.02,-23.675,-24.21,-25.02,1.5183790699295083
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-21.26,-25.02,-23.675,-24.21,-25.02,1.5183790699295083
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-11.14,-23.51,-17.78,-18.235,-23.51,4.655937070021458
1 -> 2,5.049811000000002,5.049810999999997,5.049811000000001,5.049811000000002,5.049811000000002,1.9357399876532506e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,-11.14,-23.51,-17.78,-18.235,-23.51,4.655937070021458
1 -> 2,5.048531000000001,5.048530999999998,5.0485310000000005,5.0485310000000005,5.048531000000001,1.538370149106851e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,2.79,-6.3,-1.1875000000000002,-0.6200000000000001,-6.3,3.440402411056009
1 -> 2,5.048531000000001,5.048530999999998,5.0485310000000005,5.0485310000000005,5.048531000000001,1.538370149106851e-15,78.0,78.0,78.0,78.0,78.0,0.0,35.23000000000001,35.22999999999999,35.230000000000004,35.230000000000004,35.23000000000001,9.39959687352353e-15,2.79,-6.3,-1.1875000000000002,-0.6200000000000001,-6.3,3.440402411056009
