PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-22.77,-40.22,-32.105000000000004,-32.715,-40.22,6.537738523373354,5.816666666666666
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-22.77,-40.22,-32.105000000000004,-32.715,-40.22,6.537738523373354,5.816666666666666
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-0.65,-15.32,-6.9475,-5.91,-15.32,5.592849787898832,4.89
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-0.65,-15.32,-6.9475,-5.91,-15.32,5.592849787898832,4.89
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-0.51,-5.64,-3.2199999999999998,-3.365,-5.64,1.9858121764154837,-1.71
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,-0.51,-5.64,-3.2199999999999998,-3.365,-5.64,1.9858121764154837,-1.71
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,19.2,-4.25,5.995,4.515000000000001,-4.25,8.892065283161163,7.816666666666666
1 -> 2,0.19849900000000012,0.19849899999999995,0.19849900000000004,0.19849900000000004,0.19849900000000012,7.72682523912663e-17,9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,19.2,-4.25,5.995,4.515000000000001,-4.25,8.892065283161163,7.816666666666666
1 -> 2,0.2010600000000001,0.2010599999999999,0.20106000000000002,0.20106000000000002,0.2010600000000001,9.100274040305112e-17,-9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,65.62,31.28,48.955,49.46,31.28,12.831754556567859,11.446666666666667
1 -> 2,0.2010600000000001,0.2010599999999999,0.20106000000000002,0.20106000000000002,0.2010600000000001,9.100274040305112e-17,-9.25185853854297e-18,64.0,64.0,64.0,64.0,64.0,0.0,0.0,33.05000000000001,33.05,33.050000000000004,33.05000000000001,33.05000000000001,6.153480596427404e-15,2.3684757858670005e-15,65.62,31.28,48.955,49.46,31.28,12.831754556567859,11.446666666666667
